;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
Max Baucus (D);0.11409286611395733;0.09611047210247164;0.10112337711038309;0.07795599640983764;0.10354476609077942;0.10489508690081714;0.11027089528838412;0.11493037658676727;0.08320963655498706;0.08518593687365002;0.11516457751508247;0.1131965368066356;0.09033613307283789;0.10130136976677598;0.14424935759924254;0.094794101609919;0.10477355113362813;0.09057610697842856;0.12848891659470296;0.09597201221837716
Ben Nelson (D);0.13364971733166006;0.11125145008341922;0.10189418698856609;0.08197378943649375;0.11118408795071448;0.13863928206794826;0.12339830635678922;0.12460847285418676;0.07825810235784264;0.08846664615374512;0.13401109816508408;0.1202330840577426;0.09051476779291116;0.13226587156983907;0.17856019901870607;0.10405903623354183;0.12185636188891782;0.09281690044657658;0.15434244713587264;0.09318350755057642
Mike Johanns (R);0.12796608502629025;0.10684308828841005;0.10043950585301822;0.09244715735419914;0.10922117665396286;0.10807114839347085;0.0999690168261463;0.11232857269767554;0.06588962543822134;0.09196553416257795;0.12361070617729691;0.1112241981303198;0.08301435204527005;0.11321465793195654;0.15748505775361238;0.10054825032444858;0.10299640182120327;0.08916934366918002;0.1299790725481934;0.1060328204047022
John Ensign (R);0.10781113590915521;0.08788415186393028;0.09184489655624416;0.08522686295874687;0.09654507560802861;0.10394672934804002;0.11771414089167395;0.11075517337901546;0.0720084827334088;0.08736402797579498;0.0940307790385648;0.1031959674228454;0.07231908211801799;0.10176067553191605;0.11894240074026703;0.09421238004919633;0.10131676239068803;0.09186519838802823;0.10893137724746024;0.09322187856045891
Dean Heller (R);0.09350072267990417;0.08500492797133644;0.08944612765903563;0.073215332769095;0.08881672769012283;0.10280247197970882;0.09392122085690355;0.09523429339776093;0.07550037989642439;0.07401908643307506;0.0996531932837206;0.0978024329941204;0.0682400662667305;0.0955364837590188;0.11746264584167135;0.0889609110642677;0.09512517837228548;0.07927944550507998;0.101504622008741;0.08919678351667942
Harry Reid (D);0.08850461058854923;0.08294065939279069;0.08051983539563357;0.07839205862122436;0.08446932332734947;0.0902480491247728;0.093995117891786;0.09085199536467778;0.07829210333780443;0.08395841507776579;0.09769632100730014;0.09990679617988799;0.07709919850286667;0.08041011396938624;0.12663884187041755;0.09367953547252994;0.08810640380277016;0.08723891696954081;0.09897213841082253;0.08676535597091145
Jeanne Shaheen (D);0.11326237615848549;0.10190988779370233;0.10316176721406406;0.08112093467690626;0.1021018159822229;0.09803945237901045;0.11468176561625398;0.11221381729276647;0.07997399442566713;0.08272078530715922;0.11621881640938858;0.11477890450629957;0.08458635806342857;0.11189562639945594;0.13318908822673806;0.08681825856629495;0.1020462394553986;0.08697705634196848;0.12301693477740261;0.09223969773220142
Kelly Ayotte (R);0.10612421390418317;0.09871325555273766;0.10024084726064499;0.08060276870838784;0.10028883524642684;0.118806197352816;0.1019807754493902;0.10458993448901564;0.08534066441237151;0.08336804472206466;0.11519252392829724;0.12264285518268267;0.08308372572994421;0.10431662130747224;0.14141995465599702;0.08530543913705796;0.1098999278102459;0.08603453691943658;0.11754875064567777;0.09870922691996263
Bob Menendez (D);0.12078710022779374;0.10735672094347404;0.10427165199911355;0.08812918098101036;0.11838511029940027;0.1209364551827147;0.11814319622889116;0.12907947432248512;0.08984577128095786;0.08655859671566891;0.1375765639650756;0.12394009236934872;0.09396198628766117;0.12453953072667458;0.16322213611819067;0.1037861129976547;0.13154914821983457;0.09649555316809888;0.14064130603706618;0.102980057912646
Frank Lautenberg (D);0.11834737647649779;0.10331365890011851;0.09844452780259724;0.08447996014553044;0.10658524905910738;0.11996152554492247;0.11035592303771916;0.12445800614519514;0.07879358558654502;0.09497977460532334;0.13705580895491967;0.12119392946372674;0.08197133265703282;0.10832375247210299;0.14758702643432933;0.09887696028388859;0.11330143946862693;0.08054518530802617;0.1368783760247973;0.10025109190457271
Jeff Bingaman (D);0.10996163230803403;0.09100253777893702;0.10383745481781434;0.08284149753750289;0.10874759997015616;0.10899958290862843;0.10274101192169813;0.10797990591615603;0.08681758064627024;0.09791671011092798;0.12809339651758403;0.11505990174745609;0.08793533346670293;0.10432687356019141;0.13192224317634305;0.09596658668775601;0.11764058166980504;0.09326751840021809;0.12470621228290116;0.10159839778639113
Tom Udall (D);0.09273718373910654;0.07672562960076423;0.08230384274868434;0.06898720597003938;0.08548781333829086;0.09502499434469644;0.09884844967137929;0.08507378217665498;0.06736073829118311;0.07844698282563288;0.08978340837988175;0.0982651164238684;0.0729572901396609;0.08047755088505548;0.12190807419767241;0.07379366484480057;0.08406020383386816;0.0751691499930781;0.10244150165893615;0.07974010673684775
Kirsten Gillibrand (D);0.12212056479921561;0.10466087241169186;0.09387042082896363;0.09080519961546149;0.11417572624360023;0.14783751979984702;0.1293950262697799;0.11685447903077952;0.09995144390100652;0.08578254095997533;0.13954498699123263;0.1268348802635443;0.0839893608060158;0.10999419785694492;0.16445007075242984;0.10427268551470902;0.1338557538002983;0.08128689115878812;0.13487532881277248;0.08597532980667708
Charles Schumer (D);0.11447620321603914;0.12034450873499367;0.09622546597877946;0.08270521006879439;0.09854415396981894;0.12148504326822435;0.1271165046321219;0.10935618600462842;0.08910337338543509;0.0923913886165663;0.12265938800605447;0.12532209203952716;0.089142534029137;0.1006701280366253;0.15096657400098343;0.09802340228699674;0.12116236347618026;0.08015150292782625;0.13638012730339155;0.10101805510649606
Kay Hagan (D);0.09294900765724426;0.08526654112603155;0.0771063747626815;0.07042458166808876;0.08187767643225655;0.0918032585884519;0.0891974719487773;0.08891285836501306;0.09000720631137227;0.071252395886752;0.091784569487455;0.09007703163060657;0.07021597721675224;0.08869591790318951;0.11401374745126569;0.0847786205167737;0.08754480815054519;0.07558418697140246;0.1041098393848748;0.08016367155938964
Richard Burr (R);0.10209504443691082;0.08775552407264658;0.09288276233331007;0.07794203123589487;0.09271546196921723;0.09952382268848534;0.09901334684848023;0.09492352399309455;0.08582497266604491;0.09077183474808363;0.10734068976166394;0.10027801296811018;0.08139287749163847;0.10040416205255384;0.12576377468961475;0.09105817899675166;0.09932864094885738;0.09484205563654571;0.11421649238928404;0.09421376276476719
Kent Conrad (D);0.09697128349243493;0.08872512209886807;0.08205391839611274;0.06876066626552005;0.07528236992866486;0.10384504046604458;0.09004961740151105;0.0928465514230084;0.06695113318752487;0.06899561047858008;0.10072507909198214;0.08914985157803411;0.06771690435832194;0.08200876115821415;0.12675877568038263;0.08908156159419933;0.10164431106366553;0.08371401110655002;0.10722049594397434;0.07585274273533736
John Hoeven (R);0.09244529797704379;0.08723756692613949;0.0911813429637818;0.06936351891837532;0.0799608589393638;0.09695300195725506;0.09360582586110475;0.08757807500647316;0.07991749620024677;0.07316501311089883;0.0998918138769509;0.09271781151240209;0.07794547264150622;0.0861629662955807;0.12040250522237472;0.0852049230453063;0.0925839085517021;0.07221011309565309;0.10580995392583611;0.07803087810482758
Sherrod Brown (D);0.10583367222434048;0.08542497332265914;0.09019307486532038;0.06807929169414667;0.09107929062456219;0.09666116111664162;0.10970947188735809;0.10975591575915578;0.08665552417792396;0.0812814240609253;0.11347875735398176;0.11015734238337291;0.08212264563465116;0.09683891426800548;0.1413578362154599;0.08097790932905208;0.0953384388242591;0.08011724667632121;0.1113170339070983;0.08697964319174323
Rob Portman (R);0.10589621874526597;0.09832473460282429;0.09899273625093089;0.07947114904259381;0.09554244368548127;0.12433177837052359;0.09813899695791652;0.10637844601117488;0.08547752057726968;0.08399549090747158;0.11660087951200036;0.1204733233674877;0.0746400077554808;0.10015738760895877;0.14571807766635234;0.09889041980596941;0.11457816628299343;0.09280947266171166;0.11573101872653674;0.10532068073684496
Jim Inhofe (R);0.10688208163138349;0.12382755271585727;0.10303584372648059;0.09933525847665473;0.10621880511699475;0.11478060071158626;0.10944573010372893;0.11722894250777591;0.08268522354628619;0.10557682339928451;0.12707978310496493;0.12006160477062153;0.08475830803041769;0.10669028027423465;0.15645546896692003;0.11254418508136906;0.1175474915746651;0.09773263593002443;0.121114408353689;0.11628222122729043
Tom Coburn (R);0.10269050651598122;0.09652389194689942;0.09176011060195266;0.0802287792171503;0.09065671448800634;0.10664655151216304;0.10096369246208783;0.1046245562348633;0.08483539974128215;0.08414494284127766;0.10522087356801092;0.11038501368677286;0.07804655181132218;0.09984777689168806;0.12948579102837615;0.09634387305330916;0.10437260563697649;0.08462869339874621;0.11144811823030824;0.09001891801371924
